week, start_date, topic, readings, assignments, notes
1,2023-01-09,"Overview: big picture, software, bias-variance tradeoff", ESL ch. 1-2; ADA ch. 1; @breimanStatistical2001 and **one of** {@millerBreiman2021; @gelmanReflections2021; @raperLeo2020}, [software setup](./assignments/setup.html) ,[esl chap 1 scribbles](book_notes/esl_ch1-2.pdf); [ada chap 1 scribbles](book_notes/ada_ch1.pdf); [intro](notes/intro.pdf); [chap1](notes/chap1.pdf); [intro R code](code/lin.R); [intro Julia code](code/lin.jl)
2,2023-01-16,Regression methods (OLS/lasso/ridge),ESL ch. 3 (up to section 3.4.4/p. 91),[HW 1](assignments/hw1.md) (Friday),[esl chap 2 scribbles](book_notes/esl_ch2.pdf); [chap2 notes](notes/chap2.pdf)
3,2023-01-23,Regression with non-Gaussian outcomes,ESL 4.4,,[ridge/pcr code](code/princomp_vs_ridge.R); [notes](notes/nongauss.pdf); [myglm.R](code/myglm.R)
4,2023-01-30,Basis expansion and regularization: GAMs,ESL 5,[notes](notes/splines.pdf); [South Africa ex](code/southafrica.R),
5,2023-02-06,Model assessment and selection,,[HW 2 (13 Feb)](assignments/hw2.md),
6,2023-02-13,Catch-up,,,
,2023-02-20,Midterm recess,,,
7,2023-02-27,Assessing uncertainty,,[notes](notes/assessment.pdf), [HW 3 (3 Mar)](assignments/hw3.md)
8,2023-03-06,Tree-based methods (CART/MARS/etc.),,[notes](notes/trees.pdf),
9,2023-03-13,"Random forests, boosting",,HW 4,
10,2023-03-20,Trees continued; model interpretation/var importance,,Project proposal,[HW 4 (5 Apr)](assignments/hw4.html)
11,2023-03-27,Kernel-based methods (SVM/GP),,[notes](notes/kernels.pdf)
12,2023-04-03,Data with dependence (temporal/spatial),,,
13,2023-04-10,Wrap up,,[notes](notes/stan_hmc.pdf),Project draft,
,2023-04-30,,,Project final version,
